date_t,order,symbol,size,price,fillprice,slippage,slippage_percent,provider,protocol
"2017-08-15 15:34:22.3920",9561042,USDCAD,1000,1.27603,1.27603,0,0,divisauk_1,primexm_fix44
"2018-03-13 12:45:14.3980",13531255,EURGBP,100000,0.8869,0.8869,0,0,divisa_nz_j_2,hotspot
"2017-08-15 17:19:02.1330",9562648,USDCHF,4000,0.97187,0.97187,0,0,divisauk_1,primexm_fix44
"2018-03-16 12:30:00.4060",13599584,USDJPY,100000,105.684,105.684,0,0,divisa_nz_j_2,hotspot
"2017-08-17 16:39:49.5470",9620901,USDJPY,11000,109.839,109.839,0,0,divisauk_1,primexm_fix44
"2018-03-16 13:57:18.0290",13601603,EURCHF,100000,1.16935,1.16935,0,0,divisa_nz_j_2,hotspot
"2018-01-18 15:37:55.4250",12380760,EURUSD,103000,1.224,1.224,0,0,divisa_nz_j,fxcm_fm
"2018-02-27 13:14:51.5940",13238452,EURUSD,100000,1.2303,1.2303,0,0,divisa_nz_j_2,hotspot
"2018-02-28 04:19:00.0260",13253932,EURUSD,100000,1.2225,1.2225,0,0,divisa_nz_j_2,hotspot
"2018-02-28 16:28:40.7550",13267979,EURUSD,90000,1.22089,1.22089,0,0,divisa_nz_j_2,hotspot
"2018-03-01 01:46:00.0950",13273311,EURUSD,10000,1.21884,1.21884,0,0,divisa_nz_j_2,hotspot
"2018-03-01 20:06:00.1270",13292507,EURUSD,100000,1.22634,1.22634,0,0,divisa_nz_j_2,hotspot
"2018-03-02 07:52:00.1650",13298351,EURUSD,100000,1.22603,1.22603,0,0,divisa_nz_j_2,hotspot
"2018-03-06 18:41:00.5100",13344965,GBPUSD,100000,1.38905,1.38905,0,0,divisa_nz_j_2,hotspot
"2018-03-07 12:43:00.2570",13361149,GBPUSD,100000,1.38677,1.38677,0,0,divisa_nz_j_2,hotspot
"2018-03-08 01:18:00.6390",13370529,EURUSD,100000,1.2403,1.2403,0,0,divisa_nz_j_2,hotspot
"2018-03-09 02:32:52.3900",13392595,GBPUSD,100000,1.38008,1.38008,0,0,divisa_nz_j_2,hotspot
"2018-03-09 18:55:00.3980",13433280,EURUSD,100000,1.23134,1.23134,0,0,divisa_nz_j_2,hotspot
"2018-03-12 22:29:00.2610",13517775,EURCHF,100000,1.16914,1.16914,0,0,divisa_nz_j_2,hotspot
"2018-03-13 08:36:04.1440",13523080,USDCHF,100000,0.94753,0.94753,0,0,divisa_nz_j_2,hotspot
"2017-08-15 15:39:17.6920",9561102,USDJPY,1000,110.479,110.479,0,0,divisauk_4,primexm_fix44
"2018-03-16 10:53:00.2060",13598334,GBPUSD,100000,1.39642,1.39642,0,0,divisa_nz_j,fastmatch
"2017-08-15 18:21:05.7520",9563188,AUDUSD,3000,0.78168,0.78168,0,0,divisauk_1,primexm_fix44
"2018-02-26 15:07:08.2280",13225841,EURUSD,10000,1.2296,1.2296,0,0,divisa_nz_j_2,hotspot
"2018-02-28 20:32:00.3460",13270988,EURUSD,10000,1.21993,1.21993,0,0,divisa_nz_j_2,hotspot
"2018-03-01 08:07:00.3380",13276163,EURUSD,100000,1.21949,1.21949,0,0,divisa_nz_j_2,hotspot
"2018-03-01 14:40:00.1730",13283593,EURUSD,100000,1.2168,1.2168,0,0,divisa_nz_j_2,hotspot
